"","Var1","Var2","value"
"142","MMP7","LOX-1",0.480067274995583
"143","TNFRSF11A","LOX-1",-0.216757356158651
"144","PDGF subunit B","LOX-1",-0.244900041758145
"145","C2","LOX-1",0.427434575536343
"146","IGLC2","LOX-1",-0.318725872211013
"147","PGF","LOX-1",0.431902871628277
"148","hOSCAR","LOX-1",-0.206971069576621
"149","CCL25","LOX-1",-0.238074208468064
"150","IL8","LOX-1",-0.219871699658118
"151","IL7","LOX-1",0.470331226042883
"152","CX3CL1","LOX-1",-0.279310835238908
"153","CSF-1","LOX-1",-0.352661325147774
"154","CCL28","LOX-1",-0.35720928262882
"155","CCL23","LOX-1",0.482494512474728
"156","NEMO","LOX-1",0.499017663295776
"157","HSP 27","LOX-1",0.44086601152367
"158","IL-18R1","LOX-1",-0.197796672373958
"159","NRP1","LOX-1",-0.182898479102719
"160","SELL","LOX-1",-0.408332668270151
"161","MET","LOX-1",-0.192964580649165
"162","TIE1","LOX-1",0.505352748324223
"163","FCGR2A","LOX-1",0.431102226818321
"164","ICAM1","LOX-1",-0.332033743589084
"165","SRC","BOC",0.429623381701549
"166","ADAM-TS13","BOC",-0.256418986338041
"167","CD40-L","BOC",-0.350795420663084
"168","MMP7","BOC",0.544897418600211
"169","TNFRSF11A","BOC",-0.387844617950929
"170","PDGF subunit B","BOC",-0.237313044890813
"171","PIgR","BOC",-0.237529922762252
"172","IGLC2","BOC",-0.290331402248943
"173","TF","BOC",0.506702208107867
"174","GIF","BOC",0.446078849935369
"175","hOSCAR","BOC",-0.328361454473126
"176","CCL25","BOC",-0.206389238089568
"177","IL8","BOC",-0.236752322492052
"178","IL7","BOC",0.451121935871907
"179","CX3CL1","BOC",-0.202443854725504
"180","CSF-1","BOC",-0.306801056880524
"181","CCL28","BOC",-0.262724423160438
"182","CCL23","BOC",0.430960890295095
"183","NEMO","BOC",0.458577810807125
"184","HSP 27","BOC",0.478702051288424
"185","TGF-alpha","BOC",-0.225722424725412
"186","SELL","BOC",-0.343953560767215
"187","VEGFA","SORT1",0.461370350061414
"188","PD-L2","SORT1",-0.198672265913191
"189","FABP2","SORT1",-0.192280527546554
"190","MEGF9","SORT1",-0.204275433117967
"191","SERPINA5","SORT1",-0.23347308771996
"192","TIMD4","SORT1",0.509142261008918
"193","LILRB5","TRAIL-R2",0.44835430129231
"194","SOD2","TRAIL-R2",0.495087090037641
"195","GP1BA","TRAIL-R2",0.445567951097032
"196","TNC","TRAIL-R2",0.461664311529398
"197","SERPINA5","TRAIL-R2",-0.218258304062482
"198","FCGR2A","TRAIL-R2",0.4613002060362
"199","TIMD4","TRAIL-R2",0.499741604048862
"200","BMP-6","Gal-9",0.719937004826551
"201","TM","Gal-9",0.444881569576213
"202","SRC","Gal-9",0.433210412327124
"203","GH","Gal-9",0.448646935010949
"204","IDUA","Gal-9",0.559759313807736
"205","ADAM-TS13","Gal-9",-0.222606788917727
"206","APOM","Gal-9",0.573055557372669
"207","HO-1","Gal-9",0.656124108382031
"208","PRELP","Gal-9",0.426916669955607
"209","XCL1","Gal-9",0.510676914371925
"210","SERPINA12","Gal-9",0.437488158634809
"211","TNFRSF10A","Gal-9",0.610613584203234
"212","IgG Fc receptor II-b","Gal-9",0.453350023504053
"213","C2","Gal-9",0.509280408476838
"214","IGLC2","Gal-9",-0.214695850833599
"215","TRANCE","Gal-9",0.464491212914195
"216","CCL25","Gal-9",-0.291670117409591
"217","IL8","Gal-9",-0.206537606765158
"218","CSF-1","Gal-9",-0.330958056908588
"219","CCL28","Gal-9",-0.236187379170586
"220","NEMO","Gal-9",0.544468063282822
"221","CD8A","Gal-9",0.487735957862012
"222","PD-L1","Gal-9",0.933343310296684
"223","CD59","Gal-9",0.550272377456123
"224","NRP1","Gal-9",-0.226342891514508
"225","MET","Gal-9",-0.214481752808643
"226","COMP","Gal-9",0.470110793762988
"227","FCGR2A","Gal-9",0.490899190344787
"228","APOM","BMP-6",0.498507930571639
"229","HO-1","BMP-6",0.474990400289783
"230","IL18","BMP-6",-0.231479437736344
"231","CCL25","BMP-6",-0.30470491632939
"232","CCL28","BMP-6",-0.189141947240982
"233","FGF-21","BMP-6",-0.195681630517655
"234","PD-L1","BMP-6",0.839458147291034
