"","biomarker","pval.time","pval.condition","pval.interaction"
"1","OID00441",0.0987105293755324,0.321213065387011,0.518834269637002
"2","OID01229",5.96212612638654e-06,0.258572934635051,0.807514974155246
"3","OID00562",0.000993073026431169,0.00964172207126912,0.11029308134511
"4","OID00518",0.593752209492866,0.00768075540702423,0.897799363095201
"5","OID00408",1.89069056636106e-07,2.04538409746228e-10,0.144998713961206
"6","OID00500",2.36363222032875e-10,2.04538409746228e-10,0.155614172198121
"7","OID00437",7.25302009268947e-06,0.654980706244619,0.377038605165481
"8","OID00450",0.0236800048643338,0.730252412943391,0.897799363095201
"9","OID00550",0.531156729982962,0.348161892055899,0.415392446685893
"10","OID01274",0.075971546360637,0.0954612186836343,0.0933072987418991
"11","OID00530",0.673928578181322,0.0187603392486822,0.871867188825279
"12","OID00521",4.6733441271998e-06,0.00311031561480027,0.603443740463664
"13","OID00466",0.154041636329855,0.0369448690192209,0.144998713961206
"14","OID00517",0.0764817936264724,0.00124686995860578,0.827394889330054
"15","OID00406",3.10043254319801e-05,0.14056733046336,0.13838933993856
"16","OID00391",0.335330739434457,0.0242320924015721,0.482821312089245
"17","OID01250",0.240319605527619,0.015138346571283,0.840980403269205
"18","OID05548",0.976211060809093,0.301897202297593,0.827394889330054
"19","OID00459",0.0145014210267447,0.00386887402865325,0.38751370504321
"20","OID01213",0.0715296207734707,0.000165198895160417,0.787167109322889
"21","OID01224",0.28445445783424,0.00768075540702423,0.669787756609974
"22","OID00386",0.010228654578055,0.228774285873508,0.734165863836042
"23","OID00402",0.00309080739129228,0.769151056241348,0.579396940690003
"24","OID01221",0.339908597790202,1.50742353972559e-05,0.666245100392456
"25","OID01252",0.877110667056028,0.00159555781991395,0.501068324354458
"26","OID01302",0.218597591507924,0.00254184061140431,0.827394889330054
"27","OID00522",0.259158149165514,4.13372521055394e-08,0.705964033909009
"28","OID00486",0.948317761955726,0.751637214179283,0.222591690845617
"29","OID00381",0.913006905690679,0.00757539823701834,0.144998713961206
"30","OID01266",7.51623604397056e-09,0.000184459939686251,0.764700339294134
"31","OID00535",1.50777261163642e-18,0.529091890456125,0.946941032093824
"32","OID00448",0.339908597790202,0.177601377115171,0.840980403269205
"33","OID00513",0.00218709347172588,0.00162972824257383,0.322271147158036
"34","OID00476",0.000803869814707958,0.000613356022263631,0.317291686488331
"35","OID01258",0.562805562208411,0.422273449722566,0.037334401211907
"36","OID05547",1.13347315299108e-18,0.0268272598113427,0.990004688730987
"37","OID00542",2.36363222032875e-10,0.0954612186836343,0.67971920027283
"38","OID00457",8.15973501995879e-16,0.012033090508039,0.897799363095201
"39","OID05124",0.220822297094399,0.529091890456125,0.323243577614347
"40","OID00432",0.443037989478976,0.836332133931525,0.768580121179256
"41","OID01241",3.10043254319801e-05,0.00121731479684353,0.938065675010117
"42","OID01289",0.00120224115731947,0.768902365027941,0.482821312089245
"43","OID00479",0.517794650287882,0.00138854081680602,0.57909077245541
"44","OID00556",0.410714427185506,2.78078334859031e-07,0.897799363095201
"45","OID01265",9.25524617174558e-11,9.65136232366013e-05,0.0910419277605597
"46","OID00472",0.112602209939265,0.012033090508039,0.722847773435265
"47","OID00425",0.054449857050448,0.0301669486729531,0.459475838566373
"48","OID00419",0.412680511379512,0.0845113370465387,0.803360453389104
"49","OID01286",0.0103450716220126,0.666388133054238,0.254487097410188
"50","OID00484",1.28303780865143e-05,0.0807041585817628,0.0910419277605597
"51","OID00397",0.500647866530917,0.00472521283494931,0.320487308972244
"52","OID00426",0.00079804972043544,0.000769359763523405,0.115412229715894
"53","OID00433",0.0104231400572981,0.0125055414608242,0.482821312089245
"54","OID00416",0.760487111589223,0.0472067144258023,0.415392446685893
"55","OID00396",3.86645529875826e-06,0.00254184061140431,0.917607757715327
"56","OID01240",1.94393825316578e-06,0.0268272598113427,0.586146406927055
"57","OID00499",0.317840909685204,0.00609514104006049,0.946941032093824
"58","OID00532",0.864777199135052,0.241368186711148,0.323243577614347
"59","OID00431",0.952849588577286,0.75728435035842,0.827394889330054
"60","OID01259",0.0145014210267447,0.00329147580675023,0.037334401211907
"61","OID00552",2.37446375420155e-06,0.104159842678126,0.420845377456858
"62","OID00512",0.000704071935425381,0.0929137212068506,0.1072575709668
"63","OID01253",0.00610078201551244,0.347331556579572,0.0910419277605597
"64","OID00379",0.00218709347172588,0.164142544226454,0.926879687528262
"65","OID00410",0.00106254737388443,0.0760621302954738,0.095808191762301
"66","OID01284",0.293625427595133,0.291569599271926,0.705964033909009
"67","OID00481",0.125727788390858,0.180692866069011,0.418799394549437
"68","OID00393",0.877110667056028,0.0962797090712212,0.482821312089245
"69","OID01268",0.27014915743258,0.0251880786424419,0.67359574040575
"70","OID01299",0.218597591507924,0.0208609896866283,0.897799363095201
"71","OID01297",0.563403716330896,0.552258893353608,0.840980403269205
"72","OID00423",0.548768275206573,0.000297639724054428,0.38751370504321
"73","OID01281",0.00872428695480356,0.31249427727897,0.106589997444723
"74","OID00549",1.13754919923488e-16,0.526763019871753,0.452644374056938
"75","OID01294",0.000616398128735381,0.291569599271926,0.970092660754074
"76","OID01254",0.877110667056028,0.0614242795434227,0.542863279750446
"77","OID00398",0.0033272889267426,0.399961266681543,0.482821312089245
"78","OID01296",0.026108793060129,0.945461650764904,0.840980403269205
"79","OID00460",0.218597591507924,0.768902365027941,0.827394889330054
"80","OID01230",0.000673514379002158,0.00254184061140431,0.669787756609974
"81","OID01257",0.0208663947995006,0.748506631383189,0.1238222685387
"82","OID00389",0.480651424669079,0.00399174248214576,0.399845506149378
"83","OID00443",9.66240132883872e-05,0.0330555264317012,0.943058967637498
"84","OID00453",0.000318989455535409,0.801996085831335,0.659145982145352
"85","OID00427",0.842788146864078,0.218128256825511,0.897799363095201
"86","OID00440",0.218597591507924,0.300376694630699,0.334836644245192
"87","OID01220",0.0136819088635456,0.95764401450305,0.125847850390371
"88","OID00385",9.25524617174558e-11,0.00283591521156534,0.482821312089245
"89","OID00384",0.0156080491523285,0.158077651332153,0.146494262657339
"90","OID00490",0.00649101532831749,0.825671031765738,0.409947885817637
"91","OID01255",0.949683421447134,0.127768626591272,0.000762206952235471
"92","OID00444",0.335330739434457,0.296301260402102,0.38751370504321
"93","OID00394",1.2854297129957e-09,0.347331556579572,0.322893621171741
"94","OID01301",0.877110667056028,0.00275502771496738,0.0910419277605597
"95","OID01247",0.0816464796894615,0.000130589768268051,0.418799394549437
"96","OID00401",0.0715296207734707,0.247725471430568,0.0910419277605597
"97","OID00439",1.35820601504938e-06,0.0918298068765202,0.542863279750446
"98","OID00470",7.17987184151646e-07,0.00768075540702423,0.826440914508466
"99","OID01218",0.842788146864078,0.00892253941019771,0.0910419277605597
"100","OID01293",0.00665564008563857,0.148301942745448,0.334836644245192
"101","OID00438",0.842788146864078,0.529091890456125,0.322271147158036
"102","OID00536",0.0548250697440096,0.0369448690192209,0.897799363095201
"103","OID00510",0.00145233243373898,0.0904200880416842,0.512337114643626
"104","OID00417",0.490021857503752,0.000219059296838666,0.205200863763439
"105","OID00412",2.51430727985865e-13,0.529091890456125,0.897799363095201
"106","OID00446",0.000683997172850312,0.158077651332153,0.0910419277605597
"107","OID01264",0.412680511379512,0.00666151877190821,0.0910419277605597
"108","OID00503",0.339908597790202,0.00472521283494931,0.877119437743047
"109","OID01243",7.78340138343604e-07,0.14056733046336,0.138315550914704
"110","OID01298",1.46340726905457e-07,0.00472521283494931,0.125847850390371
"111","OID00506",0.195273013118386,0.009755642086679,0.797399175430234
"112","OID00523",0.429288144642647,0.988009956153592,0.377038605165481
"113","OID01305",0.35170156004475,0.0242320924015721,0.0369714703789529
"114","OID01269",0.241332963943639,9.65136232366013e-05,0.189999204413376
"115","OID01236",1.28303780865143e-05,0.0187603392486822,0.252509920515484
"116","OID01217",2.90961162576636e-05,0.00156660419914548,0.497485406787449
"117","OID01262",0.0967210302772828,0.032843029460179,0.352798196170278
"118","OID00487",2.26829314737548e-05,0.264345400377116,0.787167109322889
"119","OID00407",0.339908597790202,0.0783379975978223,0.0910419277605597
"120","OID00411",0.0305671545243093,0.6756320706509,0.415392446685893
"121","OID00471",0.871178361953524,0.0123269580313659,0.875399442440108
"122","OID01216",0.123995461571517,0.127709960387158,0.630756994644815
"123","OID01231",0.000993073026431169,0.0116865910186632,0.603443740463664
"124","OID00418",0.5279226395506,0.00386887402865325,0.803360453389104
"125","OID00555",0.284403324972852,0.027245888851323,0.501068324354458
"126","OID01291",0.00062819667954487,0.473482102387874,0.630756994644815
"127","OID01290",2.90183787231858e-14,0.0025715755624092,0.669787756609974
"128","OID00560",0.0250690396412876,0.270630782263193,0.874342578610152
"129","OID01228",1.1171061698905e-05,0.0512355304570022,0.482821312089245
"130","OID00504",0.0160367148672601,0.663292895754762,0.334836644245192
"131","OID00468",0.876463588185696,9.65136232366013e-05,0.897799363095201
"132","OID00382",0.00623586724308437,0.133494353625292,0.827394889330054
"133","OID00498",0.241332963943639,0.666388133054238,0.669787756609974
"134","OID00561",0.058791657905995,0.00801057025009974,0.606308021783671
"135","OID00558",0.000636805648229202,0.681479488399674,0.827394889330054
"136","OID01306",0.283143308692233,8.44758608676064e-07,0.994765912951408
"137","OID01245",0.00039055719284943,0.988009956153592,0.57909077245541
"138","OID00527",6.20561811076768e-11,4.36165484421136e-05,0.0910419277605597
